"contribution_receipt_date","committee_name","Total"
2020-03-16,"BIDEN",266432.04
2020-03-16,"TRUMP",67298.68
2020-03-17,"BIDEN",264968.87
2020-03-17,"TRUMP",260734.04
2020-03-18,"BIDEN",234645.45
2020-03-18,"TRUMP",296157.57
2020-03-19,"BIDEN",232338.18
2020-03-19,"TRUMP",279905.98
2020-03-20,"BIDEN",262035.59
2020-03-20,"TRUMP",104147.7
2020-03-21,"BIDEN",170447.42
2020-03-21,"TRUMP",50821.48
2020-03-22,"BIDEN",168221.54
2020-03-22,"TRUMP",51160.45
2020-03-23,"BIDEN",277070
2020-03-23,"TRUMP",74286.4
2020-03-24,"BIDEN",316517.91
2020-03-24,"TRUMP",102490.1
2020-03-25,"BIDEN",362571.2
2020-03-25,"TRUMP",239312.8
2020-03-26,"BIDEN",320593.67
2020-03-26,"TRUMP",124803.62
2020-03-27,"BIDEN",213993.52
2020-03-27,"TRUMP",148055.43
2020-03-28,"BIDEN",153451.07
2020-03-28,"TRUMP",142322.46
2020-03-29,"BIDEN",259504
2020-03-29,"TRUMP",81215.74
2020-03-30,"BIDEN",504076.36
2020-03-30,"TRUMP",227504.44
2020-03-31,"BIDEN",792524
2020-03-31,"TRUMP",266672.14
2020-04-01,"BIDEN",499916
2020-04-01,"TRUMP",138526.76
2020-04-02,"BIDEN",356045.5
2020-04-02,"TRUMP",72087.83
2020-04-03,"BIDEN",366066.68
2020-04-03,"TRUMP",74556.43
2020-04-04,"BIDEN",174497
2020-04-04,"TRUMP",45179.42
2020-04-05,"BIDEN",220496.3
2020-04-05,"TRUMP",52162.39
2020-04-06,"BIDEN",313715.5
2020-04-06,"TRUMP",119939.47
2020-04-07,"BIDEN",261267.5
2020-04-07,"TRUMP",113629.92
2020-04-08,"BIDEN",972176.34
2020-04-08,"TRUMP",119636.98
2020-04-09,"BIDEN",667608.18
2020-04-09,"TRUMP",104164.49
2020-04-10,"BIDEN",557529.66
2020-04-10,"TRUMP",100511.24
2020-04-11,"BIDEN",378421
2020-04-11,"TRUMP",48132.31
2020-04-12,"BIDEN",264353.08
2020-04-12,"TRUMP",27948.74
2020-04-13,"BIDEN",694660.35
2020-04-13,"TRUMP",107619.1
2020-04-14,"BIDEN",1440911.97
2020-04-14,"TRUMP",107368.24
2020-04-15,"BIDEN",1314821.3
2020-04-15,"TRUMP",193485.79
2020-04-16,"BIDEN",1133180.57
2020-04-16,"TRUMP",127510.77
2020-04-17,"BIDEN",866694.42
2020-04-17,"TRUMP",165951.8
2020-04-18,"BIDEN",659717.64
2020-04-18,"TRUMP",92279.29
2020-04-19,"BIDEN",661203.29
2020-04-19,"TRUMP",78376.78
2020-04-20,"BIDEN",878696
2020-04-20,"TRUMP",127044.67
2020-04-21,"BIDEN",1333468.64
2020-04-21,"TRUMP",143979.89
2020-04-22,"BIDEN",1139120.55
2020-04-22,"TRUMP",136803.06
2020-04-23,"BIDEN",1030839.06
2020-04-23,"TRUMP",195026.07
2020-04-24,"BIDEN",739489.43
2020-04-24,"TRUMP",143828.74
2020-04-25,"BIDEN",543962.18
2020-04-25,"TRUMP",81605.91
2020-04-26,"BIDEN",702893.89
2020-04-26,"TRUMP",92511.74
2020-04-27,"BIDEN",916993.51
2020-04-27,"TRUMP",165745.24
2020-04-28,"BIDEN",967453.46
2020-04-28,"TRUMP",267525.53
2020-04-29,"BIDEN",1076179.11
2020-04-29,"TRUMP",319385.76
2020-04-30,"BIDEN",1041495.76
2020-04-30,"TRUMP",615281.94
2020-05-01,"BIDEN",461712.42
2020-05-01,"TRUMP",233896.52
2020-05-02,"BIDEN",213901.8
2020-05-02,"TRUMP",84568.45
2020-05-03,"BIDEN",386411.99
2020-05-03,"TRUMP",102747.03
2020-05-04,"BIDEN",583761.87
2020-05-04,"TRUMP",204122.16
2020-05-05,"BIDEN",630023.3
2020-05-05,"TRUMP",159050.14
2020-05-06,"BIDEN",457517.51
2020-05-06,"TRUMP",170671.92
2020-05-07,"BIDEN",491786.04
2020-05-07,"TRUMP",128511.01
2020-05-08,"BIDEN",374159.85
2020-05-08,"TRUMP",171191.26
2020-05-09,"BIDEN",305278
2020-05-09,"TRUMP",82103.21
2020-05-10,"BIDEN",257114.1
2020-05-10,"TRUMP",56708.68
2020-05-11,"BIDEN",421132
2020-05-11,"TRUMP",175186.85
2020-05-12,"BIDEN",395051.2
2020-05-12,"TRUMP",118063.53
2020-05-13,"BIDEN",329260.09
2020-05-13,"TRUMP",150088.33
2020-05-14,"BIDEN",496943.64
2020-05-14,"TRUMP",136143.45
2020-05-15,"BIDEN",416366.84
2020-05-15,"TRUMP",88882.75
2020-05-16,"BIDEN",287674.05
2020-05-16,"TRUMP",103140.3
2020-05-17,"BIDEN",328234.3
2020-05-17,"TRUMP",48764
2020-05-18,"BIDEN",533298.84
2020-05-18,"TRUMP",217089.39
2020-05-19,"BIDEN",366378.72
2020-05-19,"TRUMP",90543.5
2020-05-20,"BIDEN",431364.87
2020-05-20,"TRUMP",133812.25
2020-05-21,"BIDEN",392395.5
2020-05-21,"TRUMP",156746.62
2020-05-22,"BIDEN",363576.29
2020-05-22,"TRUMP",184251.87
2020-05-23,"BIDEN",293605.94
2020-05-23,"TRUMP",93741.12
2020-05-24,"BIDEN",250133.54
2020-05-24,"TRUMP",96099.19
2020-05-25,"BIDEN",276251.85
2020-05-25,"TRUMP",90130.5
2020-05-26,"BIDEN",763842.98
2020-05-26,"TRUMP",288169.25
2020-05-27,"BIDEN",491525.62
2020-05-27,"TRUMP",233486.19
2020-05-28,"BIDEN",429942.34
2020-05-28,"TRUMP",297601.03
2020-05-29,"BIDEN",921428.03
2020-05-29,"TRUMP",414594.84
2020-05-30,"BIDEN",638120.59
2020-05-30,"TRUMP",262301.52
2020-05-31,"BIDEN",785976.34
2020-05-31,"TRUMP",494080.44
2020-06-01,"BIDEN",1000260.38
2020-06-01,"TRUMP",372157.59
2020-06-02,"BIDEN",1631575.76
2020-06-02,"TRUMP",332350.7
2020-06-03,"BIDEN",1119316.12
2020-06-03,"TRUMP",314790.98
2020-06-04,"BIDEN",870281.53
2020-06-04,"TRUMP",373130.01
2020-06-05,"BIDEN",771864.28
2020-06-05,"TRUMP",284839.73
2020-06-06,"BIDEN",644697.01
2020-06-06,"TRUMP",309076.15
2020-06-07,"BIDEN",600253.36
2020-06-07,"TRUMP",205968.34
2020-06-08,"BIDEN",1086101.01
2020-06-08,"TRUMP",548990.64
2020-06-09,"BIDEN",596287.49
2020-06-09,"TRUMP",409020.55
2020-06-10,"BIDEN",452550.21
2020-06-10,"TRUMP",476724.24
2020-06-11,"BIDEN",478585.85
2020-06-11,"TRUMP",404964.91
2020-06-12,"BIDEN",570664.45
2020-06-12,"TRUMP",432516.59
2020-06-13,"BIDEN",334156.4
2020-06-13,"TRUMP",463252.77
2020-06-14,"BIDEN",424954.2
2020-06-14,"TRUMP",2075853.61
2020-06-15,"BIDEN",718259.98
2020-06-15,"TRUMP",577874.75
2020-06-16,"BIDEN",956494.96
2020-06-16,"TRUMP",667748.36
2020-06-17,"BIDEN",638410.01
2020-06-17,"TRUMP",578534.17
2020-06-18,"BIDEN",632907.27
2020-06-18,"TRUMP",455094.84
2020-06-19,"BIDEN",615635.85
2020-06-19,"TRUMP",457548.83
2020-06-20,"BIDEN",548711.09
2020-06-20,"TRUMP",631837.33
2020-06-21,"BIDEN",624792.44
2020-06-21,"TRUMP",433305.48
2020-06-22,"BIDEN",975089.52
2020-06-22,"TRUMP",722172.32
2020-06-23,"BIDEN",1526333.73
2020-06-23,"TRUMP",741549.88
2020-06-24,"BIDEN",966355.37
2020-06-24,"TRUMP",770046.84
2020-06-25,"BIDEN",694753.66
2020-06-25,"TRUMP",803071.6
2020-06-26,"BIDEN",685263.39
2020-06-26,"TRUMP",850651.63
2020-06-27,"BIDEN",487004.9
2020-06-27,"TRUMP",511926.89
2020-06-28,"BIDEN",774798.21
2020-06-28,"TRUMP",1769525.47
2020-06-29,"BIDEN",1113218.94
2020-06-29,"TRUMP",1177468.94
2020-06-30,"BIDEN",1493974.88
2020-06-30,"TRUMP",1743600.83
2020-07-01,"BIDEN",836207.17
2020-07-01,"TRUMP",669624.62
2020-07-02,"BIDEN",502721.97
2020-07-02,"TRUMP",819922.04
2020-07-03,"BIDEN",397736.55
2020-07-03,"TRUMP",647020.56
2020-07-04,"BIDEN",413720.35
2020-07-04,"TRUMP",2500376.09
2020-07-05,"BIDEN",433352.85
2020-07-05,"TRUMP",511194.33
2020-07-06,"BIDEN",817650.85
2020-07-06,"TRUMP",783798.49
2020-07-07,"BIDEN",498287.06
2020-07-07,"TRUMP",745475.82
2020-07-08,"BIDEN",444446.68
2020-07-08,"TRUMP",646610.38
2020-07-09,"BIDEN",414235.38
2020-07-09,"TRUMP",1154451.49
2020-07-10,"BIDEN",495562.23
2020-07-10,"TRUMP",660033.41
2020-07-11,"BIDEN",457647.01
2020-07-11,"TRUMP",523891.41
2020-07-12,"BIDEN",423819.42
2020-07-12,"TRUMP",437238.34
2020-07-13,"BIDEN",813112.47
2020-07-13,"TRUMP",408500.72
2020-07-14,"BIDEN",513074.78
2020-07-14,"TRUMP",750543.21
2020-07-15,"BIDEN",582075.63
2020-07-15,"TRUMP",1012691.58
2020-07-16,"BIDEN",646956.57
2020-07-16,"TRUMP",665327.88
2020-07-17,"BIDEN",758183.5
2020-07-17,"TRUMP",843301.48
2020-07-18,"BIDEN",333836.06
2020-07-18,"TRUMP",591932.23
2020-07-19,"BIDEN",454478.73
2020-07-19,"TRUMP",576890.82
2020-07-20,"BIDEN",763452.6
2020-07-20,"TRUMP",4301936.79
2020-07-21,"BIDEN",586141.14
2020-07-21,"TRUMP",1307499.59
2020-07-22,"BIDEN",603906.78
2020-07-22,"TRUMP",1052230.41
2020-07-23,"BIDEN",646916.83
2020-07-23,"TRUMP",781325.84
2020-07-24,"BIDEN",903981.07
2020-07-24,"TRUMP",865715.95
2020-07-25,"BIDEN",556818.8
2020-07-25,"TRUMP",474515.48
2020-07-26,"BIDEN",767958.15
2020-07-26,"TRUMP",1106782.95
2020-07-27,"BIDEN",764493.05
2020-07-27,"TRUMP",1401422.75
2020-07-28,"BIDEN",913372.57
2020-07-28,"TRUMP",1185014.43
2020-07-29,"BIDEN",914363.93
2020-07-29,"TRUMP",1249302.61
2020-07-30,"BIDEN",771497.93
2020-07-30,"TRUMP",1792153.7
2020-07-31,"BIDEN",1369094.26
2020-07-31,"TRUMP",2709822.58
2020-08-01,"BIDEN",1111387.09
2020-08-01,"TRUMP",878888.51
2020-08-02,"BIDEN",919181
2020-08-02,"TRUMP",665020.9
2020-08-03,"BIDEN",1380798.24
2020-08-03,"TRUMP",1252451.26
2020-08-04,"BIDEN",1528015.96
2020-08-04,"TRUMP",1346379.28
2020-08-05,"BIDEN",1528610.9
2020-08-05,"TRUMP",789887.82
2020-08-06,"BIDEN",1286404.77
2020-08-06,"TRUMP",753286.55
2020-08-07,"BIDEN",1197559.11
2020-08-07,"TRUMP",900097.95
2020-08-08,"BIDEN",909431.2
2020-08-08,"TRUMP",361243.76
2020-08-09,"BIDEN",2399617.46
2020-08-09,"TRUMP",376177.94
2020-08-10,"BIDEN",1773853.1
2020-08-10,"TRUMP",1297827.9
2020-08-11,"BIDEN",5541068.83
2020-08-11,"TRUMP",957203.49
2020-08-12,"BIDEN",6907173.69
2020-08-12,"TRUMP",938251.35
2020-08-13,"BIDEN",5282246.83
2020-08-13,"TRUMP",1187895.58
2020-08-14,"BIDEN",3251037.74
2020-08-14,"TRUMP",875641.68
2020-08-15,"BIDEN",2387042.1
2020-08-15,"TRUMP",1098471.19
2020-08-16,"BIDEN",6171536.35
2020-08-16,"TRUMP",666161.28
2020-08-17,"BIDEN",4705834.25
2020-08-17,"TRUMP",2050971.2
2020-08-18,"BIDEN",4313610.92
2020-08-18,"TRUMP",1494519.87
2020-08-19,"BIDEN",5835797.61
2020-08-19,"TRUMP",1316926.33
2020-08-20,"BIDEN",13596404.39
2020-08-20,"TRUMP",1760434.91
2020-08-21,"BIDEN",5366130.71
2020-08-21,"TRUMP",996712.57
2020-08-22,"BIDEN",2600520.5
2020-08-22,"TRUMP",527704.63
2020-08-23,"BIDEN",3498503.9
2020-08-23,"TRUMP",628831.39
2020-08-24,"BIDEN",3049623.63
2020-08-24,"TRUMP",1912736.49
2020-08-25,"BIDEN",2812753.19
2020-08-25,"TRUMP",1024320.17
2020-08-26,"BIDEN",3315884.11
2020-08-26,"TRUMP",1110403.37
2020-08-27,"BIDEN",4912763.16
2020-08-27,"TRUMP",4866073.02
2020-08-28,"BIDEN",3606752.83
2020-08-28,"TRUMP",2409374.4
2020-08-29,"BIDEN",3198224.61
2020-08-29,"TRUMP",1316526.58
2020-08-30,"BIDEN",5008674.56
2020-08-30,"TRUMP",1561141.14
2020-08-31,"BIDEN",8849821.81
2020-08-31,"TRUMP",4126802.84
2020-09-01,"BIDEN",3656464.58
2020-09-01,"TRUMP",1661604
2020-09-02,"BIDEN",3427351.67
2020-09-02,"TRUMP",1609221.39
2020-09-03,"BIDEN",3430328.26
2020-09-03,"TRUMP",1390300.5
2020-09-04,"BIDEN",2882629
2020-09-04,"TRUMP",1151024.54
2020-09-05,"BIDEN",1929093.66
2020-09-05,"TRUMP",893833.24
2020-09-06,"BIDEN",2648325.32
2020-09-06,"TRUMP",748590.9
2020-09-07,"BIDEN",2509992.75
2020-09-07,"TRUMP",791466.79
2020-09-08,"BIDEN",5086930.17
2020-09-08,"TRUMP",2316693.12
2020-09-09,"BIDEN",3546327.83
2020-09-09,"TRUMP",2465845.85
2020-09-10,"BIDEN",4371359.87
2020-09-10,"TRUMP",1657080.39
2020-09-11,"BIDEN",2217246.03
2020-09-11,"TRUMP",645097.86
2020-09-12,"BIDEN",2171961.63
2020-09-12,"TRUMP",621511.19
2020-09-13,"BIDEN",3233875.59
2020-09-13,"TRUMP",545187.3
2020-09-14,"BIDEN",5370434.7
2020-09-14,"TRUMP",2117559.59
2020-09-15,"BIDEN",3788076.58
2020-09-15,"TRUMP",1578206.66
2020-09-16,"BIDEN",3094321.4
2020-09-16,"TRUMP",1407717.51
2020-09-17,"BIDEN",2734305.35
2020-09-17,"TRUMP",1353740.21
2020-09-18,"BIDEN",4098377.76
2020-09-18,"TRUMP",1290589.05
2020-09-19,"BIDEN",4923557.22
2020-09-19,"TRUMP",1361043.47
2020-09-20,"BIDEN",5289457.54
2020-09-20,"TRUMP",1210158.4
2020-09-21,"BIDEN",5577455.27
2020-09-21,"TRUMP",2809703.43
2020-09-22,"BIDEN",3409280.11
2020-09-22,"TRUMP",1457968.33
2020-09-23,"BIDEN",3650997.28
2020-09-23,"TRUMP",1204204.08
2020-09-24,"BIDEN",4013353.46
2020-09-24,"TRUMP",1417537.95
2020-09-25,"BIDEN",2919660.96
2020-09-25,"TRUMP",1807940.13
2020-09-26,"BIDEN",2795665.86
2020-09-26,"TRUMP",1163638.21
2020-09-27,"BIDEN",3666877.6
2020-09-27,"TRUMP",1099603.62
2020-09-28,"BIDEN",4789857.71
2020-09-28,"TRUMP",1884046.47
2020-09-29,"BIDEN",7875284.91
2020-09-29,"TRUMP",2750176.42
2020-09-30,"BIDEN",12209871.55
2020-09-30,"TRUMP",2734311.77
2020-10-01,"BIDEN",3858643.22
2020-10-01,"TRUMP",1209834.63
2020-10-02,"BIDEN",1647941.94
2020-10-02,"TRUMP",1277962.55
2020-10-03,"BIDEN",1216182.08
2020-10-03,"TRUMP",1623489.18
2020-10-04,"BIDEN",2001711.21
2020-10-04,"TRUMP",1063775.1
2020-10-05,"BIDEN",3370397.69
2020-10-05,"TRUMP",1713445.25
2020-10-06,"BIDEN",2654152.27
2020-10-06,"TRUMP",1387587.76
2020-10-07,"BIDEN",3994490.03
2020-10-07,"TRUMP",2667766.7
2020-10-08,"BIDEN",2837575
2020-10-08,"TRUMP",1742686.65
2020-10-09,"BIDEN",2280385.21
2020-10-09,"TRUMP",1893410.48
2020-10-10,"BIDEN",1878289.92
2020-10-10,"TRUMP",983918.16
2020-10-11,"BIDEN",1960962.68
2020-10-11,"TRUMP",1047131.09
2020-10-12,"BIDEN",3149791.44
2020-10-12,"TRUMP",1660818.11
2020-10-13,"BIDEN",4345380.13
2020-10-13,"TRUMP",1672920.69
2020-10-14,"BIDEN",3660836.55
2020-10-14,"TRUMP",1162248.04
2020-10-15,"BIDEN",1000
