"year","state","dem_this_margin"
2000,"South Dakota",-0.232
2000,"Tennessee",-0.039
2000,"Texas",-0.219
2000,"Utah",-0.435
2000,"Vermont",0.109
2000,"Virginia",-0.083
2000,"Washington",0.059
2000,"West Virginia",-0.065
2000,"Wisconsin",0.002
2000,"Wyoming",-0.42
2004,"Alabama",-0.258
2004,"Alaska",-0.265
2004,"Arizona",-0.106
2004,"Arkansas",-0.099
2004,"California",0.101
2004,"Colorado",-0.047
2004,"Connecticut",0.105
2004,"Delaware",0.077
2004,"District of Columbia",0.81
2004,"Florida",-0.05
2004,"Georgia",-0.167
2004,"Hawaii",0.088
2004,"Idaho",-0.386
2004,"Illinois",0.104
2004,"Indiana",-0.208
2004,"Iowa",-0.007
2004,"Kansas",-0.257
2004,"Kentucky",-0.2
2004,"Louisiana",-0.147
2004,"Maine",0.092
2004,"Maryland",0.131
2004,"Massachusetts",0.255
2004,"Michigan",0.035
2004,"Minnesota",0.035
2004,"Mississippi",-0.19
2004,"Missouri",-0.072
2004,"Montana",-0.21
2004,"Nebraska",-0.337
2004,"Nevada",-0.026
2004,"New Hampshire",0.014
2004,"New Jersey",0.067
2004,"New Mexico",-0.008
2004,"New York",0.197
2004,"North Carolina",-0.125
2004,"North Dakota",-0.278
2004,"Ohio",-0.021
2004,"Oklahoma",-0.311
2004,"Oregon",0.042
2004,"Pennsylvania",0.025
2004,"Rhode Island",0.212
2004,"South Carolina",-0.173
2004,"South Dakota",-0.218
2004,"Tennessee",-0.144
2004,"Texas",-0.23
2004,"Utah",-0.467
2004,"Vermont",0.206
2004,"Virginia",-0.083
2004,"Washington",0.073
2004,"West Virginia",-0.13
2004,"Wisconsin",0.004
2004,"Wyoming",-0.406
2008,"Alabama",-0.218
2008,"Alaska",-0.221
2008,"Arizona",-0.086
2008,"Arkansas",-0.203
2008,"California",0.246
2008,"Colorado",0.091
2008,"Connecticut",0.226
2008,"Delaware",0.253
2008,"District of Columbia",0.868
2008,"Florida",0.028
2008,"Georgia",-0.053
2008,"Hawaii",0.46
2008,"Idaho",-0.26
2008,"Illinois",0.255
2008,"Indiana",0.01
2008,"Iowa",0.097
2008,"Kansas",-0.152
2008,"Kentucky",-0.165
2008,"Louisiana",-0.189
2008,"Maine",0.177
2008,"Maryland",0.259
2008,"Massachusetts",0.264
2008,"Michigan",0.167
2008,"Minnesota",0.105
2008,"Mississippi",-0.133
2008,"Missouri",-0.001
2008,"Montana",-0.023
2008,"Nebraska",-0.152
2008,"Nevada",0.128
2008,"New Hampshire",0.097
2008,"New Jersey",0.157
2008,"New Mexico",0.153
2008,"New York",0.315
2008,"North Carolina",0.003
2008,"North Dakota",-0.088
2008,"Ohio",0.047
2008,"Oklahoma",-0.313
2008,"Oregon",0.168
2008,"Pennsylvania",0.105
2008,"Rhode Island",0.284
2008,"South Carolina",-0.091
2008,"South Dakota",-0.086
2008,"Tennessee",-0.153
2008,"Texas",-0.119
2008,"Utah",-0.291
2008,"Vermont",0.378
2008,"Virginia",0.064
2008,"Washington",0.175
2008,"West Virginia",-0.133
2008,"Wisconsin",0.141
2008,"Wyoming",-0.331
2012,"Alabama",-0.224
2012,"Alaska",-0.146
2012,"Arizona",-0.092
2012,"Arkansas",-0.243
2012,"California",0.237
2012,"Colorado",0.055
2012,"Connecticut",0.175
2012,"Delaware",0.189
2012,"District of Columbia",0.852
2012,"Florida",0.009
2012,"Georgia",-0.079
2012,"Hawaii",0.434
2012,"Idaho",-0.328
2012,"Illinois",0.172
2012,"Indiana",-0.104
2012,"Iowa",0.059
2012,"Kansas",-0.222
2012,"Kentucky",-0.231
2012,"Louisiana",-0.175
2012,"Maine",0.157
2012,"Maryland",0.266
2012,"Massachusetts",0.236
2012,"Michigan",0.096
2012,"Minnesota",0.079
2012,"Mississippi",-0.116
2012,"Missouri",-0.096
2012,"Montana",-0.141
2012,"Nebraska",-0.223
2012,"Nevada",0.068
2012,"New Hampshire",0.057
2012,"New Jersey",0.179
2012,"New Mexico",0.106
2012,"New York",0.321
2012,"North Carolina",-0.021
2012,"North Dakota",-0.202
2012,"Ohio",0.03
2012,"Oklahoma",-0.335
2012,"Oregon",0.125
2012,"Pennsylvania",0.055
2012,"Rhode Island",0.28
2012,"South Carolina",-0.106
2012,"South Dakota",-0.184
2012,"Tennessee",-0.207
2012,"Texas",-0.16
2012,"Utah",-0.493
2012,"Vermont",0.365
2012,"Virginia",0.039
2012,"Washington",0.153
2012,"West Virginia",-0.273
2012,"Wisconsin",0.069
2012,"Wyoming",-0.423
2016,"Alabama",-0.287
2016,"Alaska",-0.168
2016,"Arizona",-0.038
2016,"Arkansas",-0.286
2016,"California",0.323
2016,"Colorado",0.054
2016,"Connecticut",0.143
2016,"Delaware",0.12
2016,"District of Columbia",0.914
2016,"Florida",-0.012
2016,"Georgia",-0.053
2016,"Hawaii",0.349
2016,"Idaho",-0.366
2016,"Illinois",0.18
2016,"Indiana",-0.202
2016,"Iowa",-0.101
2016,"Kansas",-0.222
2016,"Kentucky",-0.313
2016,"Louisiana",-0.203
2016,"Maine",0.032
2016,"Maryland",0.28
2016,"Massachusetts",0.293
2016,"Michigan",-0.002
2016,"Minnesota",0.017
2016,"Mississippi",-0.182
2016,"Missouri",-0.196
2016,"Montana",-0.222
2016,"Nebraska",-0.271
2016,"Nevada",0.026
2016,"New Hampshire",0.004
2016,"New Jersey",0.146
2016,"New Mexico",0.093
2016,"New York",0.268
2016,"North Carolina",-0.038
2016,"North Dakota",-0.396
2016,"Ohio",-0.085
2016,"Oklahoma",-0.386
2016,"Oregon",0.123
2016,"Pennsylvania",-0.008
2016,"Rhode Island",0.166
2016,"South Carolina",-0.149
2016,"South Dakota",-0.319
2016,"Tennessee",-0.272
2016,"Texas",-0.094
2016,"Utah",-0.248
2016,"Vermont",0.304
2016,"Virginia",0.057
2016,"Washington",0.176
2016,"West Virginia",-0.443
2016,"Wisconsin",-0.008
2016,"Wyoming",-0.514
