state,called,final,dem_votes,rep_votes,other_votes,dem_percent,rep_percent,other_percent,dem_this_margin,margin_shift,vote_change,stateid,EV,X,Y,State_num,Center_X,Center_Y,2016 Margin,Total 2016 Votes,,
Pennsylvania,D,Yes,"3,459,923","3,378,263","79,397",0.5002 ,0.4884 ,0.0115 ,0.0118 ,0.0190 ,0.1312 ,PA,20,8,4,42,806,221,-0.007183871,"6,115,402",,
Texas,R,Yes,"5,259,126","5,890,347","165,583",0.4648 ,0.5206 ,0.0146 ,-0.0558 ,0.0342 ,0.2615 ,TX,38,3,0,48,444,471,-0.089994276,"8,969,226",,
Wisconsin,D,Yes,"1,630,866","1,610,184","56,991",0.4945 ,0.4882 ,0.0173 ,0.0063 ,0.0139 ,0.1082 ,WI,10,6,6,55,601,169,-0.007643432,"2,976,150",,
Non-Battlegrounds,,,,,,,,,,,,,,,,,,,,,,
Alabama,R,Yes,"849,624","1,441,170","32,488",0.3657 ,0.6203 ,0.0140 ,-0.2546 ,0.0226 ,0.0941 ,AL,9,6,1,1,674,424,-0.277251466,"2,123,372",,
Alaska,R,Yes,"153,778","189,951","15,801",0.4277 ,0.5283 ,0.0439 ,-0.1006 ,0.0467 ,0.1284 ,AK,3,0,6,2,105,512,-0.147306408,"318,608",,
Arkansas,R,Yes,"423,932","760,647","34,490",0.3478 ,0.6240 ,0.0283 ,-0.2762 ,-0.0070 ,0.0782 ,AR,6,5,2,5,564,386,-0.26920978,"1,130,635",,
California,D,No,"11,109,764","6,005,961","378,259",0.6351 ,0.3433 ,0.0216 ,0.2917 ,-0.0093 ,0.2336 ,CA,55,1,3,6,75,283,0.301092931,"14,181,595",,
Colorado,D,Yes,"1,804,352","1,364,607","87,993",0.5540 ,0.4190 ,0.0270 ,0.1350 ,0.0860 ,0.1715 ,CO,9,3,3,8,330,284,0.049055354,"2,780,220",,
Connecticut,D,Yes,"1,080,680","715,291","28,302",0.5924 ,0.3921 ,0.0155 ,0.2003 ,0.0639 ,0.1090 ,CT,7,10,4,9,886,190,0.136393867,"1,644,920",,
Delaware,D,Yes,"296,268","200,603","7,475",0.5874 ,0.3977 ,0.0148 ,0.1897 ,0.0759 ,0.1421 ,DE,3,11,3,10,853,258,0.113732329,"441,590",,
District of Columbia,D,Yes,"317,323","18,586","8,447",0.9215 ,0.0540 ,0.0245 ,0.8675 ,-0.0002 ,0.1063 ,DC,3,9,3,11,829,264,0.867763471,"311,268",,
Hawaii,D,No,"366,130","196,864","11,475",0.6373 ,0.3427 ,0.0200 ,0.2946 ,-0.0272 ,0.3393 ,HI,4,0,0,15,272,570,0.321828147,"428,937",,
Idaho,R,No,"287,021","554,119","25,962",0.3310 ,0.6390 ,0.0299 ,-0.3080 ,0.0097 ,0.2562 ,ID,4,2,5,16,195,148,-0.317694186,"690,255",,
Illinois,D,Yes,"3,471,915","2,446,891","114,938",0.5754 ,0.4055 ,0.0190 ,0.1699 ,-0.0008 ,0.0898 ,IL,20,6,5,17,614,264,0.170636136,"5,536,424",,
Indiana,R,Yes,"1,242,413","1,729,516","61,183",0.4096 ,0.5702 ,0.0202 ,-0.1606 ,0.0311 ,0.1090 ,IN,11,6,4,18,669,264,-0.191651938,"2,734,958",,
Kansas,R,Yes,"570,323","771,406","30,574",0.4156 ,0.5621 ,0.0223 ,-0.1465 ,0.0595 ,0.1586 ,KS,6,4,2,20,457,307,-0.206022111,"1,184,402",,
Kentucky,R,Yes,"772,474","1,326,646","37,648",0.3615 ,0.6209 ,0.0176 ,-0.2594 ,0.0390 ,0.1105 ,KY,8,6,3,21,706,314,-0.298374502,"1,924,149",,
Louisiana,R,Yes,"856,034","1,255,776","36,252",0.3985 ,0.5846 ,0.0169 ,-0.1861 ,0.0103 ,0.0587 ,LA,8,4,1,22,560,456,-0.196391186,"2,029,032",,
Maine,D,Yes,"435,072","360,737","23,652",0.5309 ,0.4402 ,0.0289 ,0.0907 ,0.0611 ,0.0956 ,ME,2,11,7,23,919,92,0.029604493,"747,927",,
Maine 1st District,D,Yes,"266,376","164,045","12,691",0.6011 ,0.3702 ,0.0286 ,0.2309 ,0.0829 ,0.1237 ,ME1,1,12,9,101,919,92,0.148074324,"394,329",,
Maryland,D,Yes,"1,985,023","976,414","75,593",0.6536 ,0.3215 ,0.0249 ,0.3321 ,0.0679 ,0.0919 ,MD,10,10,3,24,825,254,0.264164395,"2,781,446",,
Massachusetts,D,Yes,"2,382,202","1,167,202","81,998",0.6560 ,0.3214 ,0.0226 ,0.3346 ,0.0626 ,0.0921 ,MA,11,10,5,25,895,169,0.271967065,"3,325,046",,
Mississippi,R,Yes,"539,508","756,789","17,597",0.4106 ,0.5760 ,0.0134 ,-0.1654 ,0.0129 ,0.0864 ,MS,6,5,1,28,617,427,-0.178262498,"1,209,357",,
Missouri,R,Yes,"1,253,014","1,718,736","54,212",0.4141 ,0.5680 ,0.0179 ,-0.1539 ,0.0325 ,0.0774 ,MO,10,5,3,29,557,305,-0.18637117,"2,808,605",,
Montana,R,Yes,"244,786","343,602","15,286",0.4055 ,0.5692 ,0.0253 ,-0.1637 ,0.0405 ,0.2143 ,MT,3,3,5,30,289,95,-0.204227321,"497,147",,
Nebraska,R,Yes,"374,583","556,846","20,283",0.3936 ,0.5851 ,0.0213 ,-0.1915 ,0.0590 ,0.1272 ,NE,2,4,3,31,438,238,-0.250485948,"844,289",,
Nebraska 1st District,R,Yes,"132,261","180,290","7,495",0.4133 ,0.5633 ,0.0234 ,-0.1501 ,0.0571 ,0.1336 ,NE1,1,12,7,103,438,238,-0.207198464,"282,338",,
Nebraska 3rd District,R,Yes,"65,854","222,179","5,879",0.2241 ,0.7559 ,0.0200 ,-0.5319 ,0.0100 ,0.0881 ,NE3,1,12,5,105,438,238,-0.541881241,"270,109",,
New Jersey,D,Yes,"2,608,335","1,883,274","57,744",0.5733 ,0.4140 ,0.0127 ,0.1594 ,0.0183 ,0.1743 ,NJ,14,9,4,34,865,231,0.141026978,"3,874,046",,
New Mexico,D,Yes,"501,614","401,894","20,457",0.5429 ,0.4350 ,0.0221 ,0.1079 ,0.0258 ,0.1574 ,NM,5,3,2,35,309,385,0.082131328,"798,318",,
New York,D,Yes,"5,241,957","3,250,075","119,043",0.6087 ,0.3774 ,0.0138 ,0.2313 ,0.0064 ,0.1152 ,NY,29,9,5,36,838,168,0.224904561,"7,721,453",,
North Dakota,R,Yes,"114,902","235,595","11,322",0.3176 ,0.6511 ,0.0313 ,-0.3336 ,0.0237 ,0.0507 ,ND,3,4,5,38,426,97,-0.357288884,"344,360",,
Oklahoma,R,Yes,"503,890","1,020,280","36,529",0.3229 ,0.6537 ,0.0234 ,-0.3309 ,0.0330 ,0.0741 ,OK,7,3,1,40,477,377,-0.363911845,"1,452,992",,
Oregon,D,Yes,"1,340,383","958,448","75,490",0.5645 ,0.4037 ,0.0318 ,0.1609 ,0.0511 ,0.1864 ,OR,7,1,4,41,97,134,0.109778168,"2,001,336",,
Rhode Island,D,Yes,"307,486","199,922","10,349",0.5939 ,0.3861 ,0.0200 ,0.2077 ,0.0527 ,0.1155 ,RI,4,11,4,44,904,183,0.155085491,"464,144",,
South Carolina,R,Yes,"1,091,541","1,385,103","36,685",0.4343 ,0.5511 ,0.0146 ,-0.1168 ,0.0259 ,0.1951 ,SC,9,8,2,45,783,394,-0.142659129,"2,103,027",,
South Dakota,R,Yes,"150,471","261,043","11,095",0.3561 ,0.6177 ,0.0263 ,-0.2616 ,0.0363 ,0.1419 ,SD,3,4,4,46,430,168,-0.297933222,"370,093",,
Tennessee,R,Yes,"1,143,711","1,852,475","57,665",0.3745 ,0.6066 ,0.0189 ,-0.2321 ,0.0280 ,0.2176 ,TN,11,6,2,47,670,360,-0.260057009,"2,508,027",,
Utah,R,Yes,"560,282","865,140","62,867",0.3765 ,0.5813 ,0.0422 ,-0.2048 ,-0.0240 ,0.3154 ,UT,6,2,3,49,225,266,-0.180793332,"1,131,430",,
Vermont,D,Yes,"242,820","112,704","11,904",0.6609 ,0.3067 ,0.0324 ,0.3541 ,0.0900 ,0.1662 ,VT,3,10,6,50,873,134,0.264083512,"315,067",,
Virginia,D,Yes,"2,413,568","1,962,430","84,526",0.5411 ,0.4400 ,0.0189 ,0.1011 ,0.0479 ,0.1200 ,VA,13,8,3,51,809,299,0.053211954,"3,982,752",,
Washington,D,Yes,"2,369,612","1,584,651","133,368",0.5797 ,0.3877 ,0.0326 ,0.1920 ,0.0350 ,0.2145 ,WA,12,1,5,53,128,58,0.157059999,"3,365,644",,
West Virginia,R,Yes,"235,984","545,382","13,286",0.2970 ,0.6863 ,0.0167 ,-0.3894 ,0.0314 ,0.1144 ,WV,5,7,3,54,765,284,-0.420726936,"713,051",,
Wyoming,R,Yes,"73,491","193,559","9,715",0.2655 ,0.6994 ,0.0351 ,-0.4338 ,0.0291 ,0.0818 ,WY,3,3,4,56,306,187,-0.462952757,"255,849",,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
